IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
141.147.169.195,2096,2096,true,NRT,Asia Pacific,Tokyo,104,11.77
168.138.194.121,2087,2087,true,NRT,Asia Pacific,Tokyo,87,11.77
89.168.116.116,443,443,true,FRA,Europe,Frankfurt,179,11.76
130.162.247.49,443,443,true,FRA,Europe,Frankfurt,176,11.76
158.101.203.158,443,443,true,FRA,Europe,Frankfurt,189,11.75
141.144.202.136,443,443,true,FRA,Europe,Frankfurt,160,11.75
150.230.192.173,80,80,false,NRT,Asia Pacific,Tokyo,77,11.73
130.162.61.18,80,80,false,FRA,Europe,Frankfurt,184,11.73
150.230.205.56,2086,2086,false,NRT,Asia Pacific,Tokyo,111,11.72
151.145.68.166,2095,2095,false,NRT,Asia Pacific,Tokyo,76,11.72
158.101.208.219,443,443,true,FRA,Europe,Frankfurt,188,11.71
138.3.211.101,2096,2096,true,NRT,Asia Pacific,Tokyo,128,11.70
158.179.188.7,80,80,false,NRT,Asia Pacific,Tokyo,103,11.70
168.138.206.68,2083,2083,true,NRT,Asia Pacific,Tokyo,103,11.69
141.147.181.148,8080,8080,false,NRT,Asia Pacific,Tokyo,102,11.68
168.138.196.164,8080,8080,false,HKG,Asia Pacific,Hong Kong,159,11.68
152.70.103.145,2082,2082,false,NRT,Asia Pacific,Tokyo,104,11.68
158.179.189.235,80,80,false,NRT,Asia Pacific,Tokyo,99,11.66
141.148.246.126,443,443,true,FRA,Europe,Frankfurt,173,11.64
